index,WTA,Location,Tournament,Court,Surface,Winner,WRank,LRank,B365W,PSW,MaxW,AvgW,ATP,year
0.0_39.0_Hall of Fame Championships,0.0,Newport,Hall of Fame Championships,Outdoor,Grass,Anderson K.,113.0,152.0,1.61,1.61,1.67,1.56,39.0,2021
0.0_40.0_Suisse Open Gstaad,0.0,Gstaad,Suisse Open Gstaad,Outdoor,Clay,Ruud C.,14.0,155.0,1.14,1.16,1.23,1.14,40.0,2021
0.0_41.0_Mifel Open,0.0,Los Cabos,Mifel Open,Outdoor,Hard,Norrie C.,30.0,134.0,1.4,1.42,1.44,1.39,41.0,2021
0.0_42.0_Croatia Open,0.0,Umag,Croatia Open,Outdoor,Clay,Alcaraz C.,73.0,59.0,1.25,1.27,1.29,1.23,42.0,2021
0.0_43.0_BB&T Atlanta Open,0.0,Atlanta,BB&T Atlanta Open,Outdoor,Hard,Isner J.,35.0,115.0,1.8,1.82,1.82,1.74,43.0,2021
0.0_44.0_Generali Open,0.0,Kitzbuhel,Generali Open,Outdoor,Clay,Ruud C.,14.0,97.0,1.33,1.3,1.35,1.3,44.0,2021
0.0_45.0_Citi Open,0.0,Washington,Citi Open,Outdoor,Hard,Sinner J.,24.0,107.0,1.25,1.3,1.31,1.26,45.0,2021
0.0_46.0_Canadian Open,0.0,Toronto,Canadian Open,Outdoor,Hard,Medvedev D.,2.0,32.0,1.16,1.22,1.23,1.19,46.0,2021
0.0_47.0_Western & Southern Financial Group Masters,0.0,Cincinnati,Western & Southern Financial Group Masters,Outdoor,Hard,Zverev A.,5.0,7.0,1.4,1.4,1.44,1.4,47.0,2021
0.0_48.0_Winston-Salem Open at Wake Forest University,0.0,Winston-Salem,Winston-Salem Open at Wake Forest University,Outdoor,Hard,Ivashka I.,63.0,90.0,1.44,1.5,1.5,1.43,48.0,2021
0.0_49.0_US Open,0.0,New York,US Open,Outdoor,Hard,Medvedev D.,2.0,1.0,3.0,3.14,3.36,3.04,49.0,2021
0.0_50.0_Open de Moselle,0.0,Metz,Open de Moselle,Indoor,Hard,Hurkacz H.,13.0,16.0,1.9,1.87,1.94,1.87,50.0,2021
0.0_51.0_Astana Open,0.0,Nur-Sultan,Astana Open,Indoor,Hard,Kwon S.W.,82.0,65.0,2.0,2.11,2.16,2.02,51.0,2021
0.0_52.0_San Diego Open,0.0,San Diego,San Diego Open,Outdoor,Hard,Ruud C.,10.0,28.0,1.9,1.99,2.04,1.91,52.0,2021
0.0_53.0_Sofia Open,0.0,Sofia,Sofia Open,Indoor,Hard,Sinner J.,14.0,20.0,1.57,1.69,1.69,1.59,53.0,2021
0.0_54.0_BNP Paribas Open,0.0,Indian Wells,BNP Paribas Open,Outdoor,Hard,Norrie C.,26.0,36.0,1.57,1.56,1.67,1.57,54.0,2021
0.0_55.0_European Open,0.0,Antwerp,European Open,Indoor,Hard,Sinner J.,16.0,13.0,1.44,1.49,1.52,1.44,55.0,2021
0.0_56.0_Kremlin Cup,0.0,Moscow,Kremlin Cup,Indoor,Hard,Karatsev A.,22.0,41.0,1.66,1.75,1.75,1.71,56.0,2021
0.0_57.0_St. Petersburg Open,0.0,St. Petersburg,St. Petersburg Open,Indoor,Hard,Cilic M.,35.0,28.0,2.0,2.08,2.15,2.02,57.0,2021
0.0_58.0_Vienna Open,0.0,Vienna,Vienna Open,Indoor,Hard,Zverev A.,4.0,49.0,1.2,1.21,1.24,1.19,58.0,2021
0.0_59.0_BNP Paribas Masters,0.0,Paris,BNP Paribas Masters,Indoor,Hard,Djokovic N.,1.0,2.0,2.0,2.13,2.13,2.02,59.0,2021
0.0_60.0_Stockholm Open,0.0,Stockholm,Stockholm Open,Indoor,Hard,Paul T.,52.0,18.0,2.3,2.4,2.5,2.28,60.0,2021
0.0_61.0_Masters Cup,0.0,Turin,Masters Cup,Indoor,Hard,Zverev A.,3.0,2.0,2.5,2.44,2.65,2.44,61.0,2021
0.0_1.0_Adelaide International 1,0.0,Adelaide,Adelaide International 1,Outdoor,Hard,Monfils G.,21.0,29.0,1.61,1.63,1.67,1.6,1.0,2022
